filter,n,target_fpr,load_factor,phase,ops,ops_per_sec_mean,ops_per_sec_std,failure_rate,avg_kicks_per_insert,stash_inserts,avg_probe_len_insert,avg_cluster_len,max_cluster_len
cuckoo,1000000,0.01,0.4,insert,838860,1.89019e+07,1.12737e+06,0,0.00106931,0,0,0,0
cuckoo,1000000,0.01,0.4,delete,838860,2.0413e+07,1.24397e+06,0,0.00106931,0,0,0,0
cuckoo,1000000,0.01,0.45,insert,943718,1.61392e+07,1.90144e+06,0,0.00225406,0,0,0,0
cuckoo,1000000,0.01,0.45,delete,943718,1.76738e+07,2.08586e+06,0,0.00225406,0,0,0,0
cuckoo,1000000,0.01,0.5,insert,1048576,1.77696e+07,383378,0,0.00439339,0,0,0,0
cuckoo,1000000,0.01,0.5,delete,1048576,1.8897e+07,592481,0,0.00439339,0,0,0,0
cuckoo,1000000,0.01,0.55,insert,1153433,1.66025e+07,516507,0,0.00801416,0,0,0,0
cuckoo,1000000,0.01,0.55,delete,1153433,1.81836e+07,848417,0,0.00801416,0,0,0,0
cuckoo,1000000,0.01,0.6,insert,1258291,1.59454e+07,604646,0,0.0140513,0,0,0,0
cuckoo,1000000,0.01,0.6,delete,1258291,1.77161e+07,204246,0,0.0140513,0,0,0,0
cuckoo,1000000,0.01,0.65,insert,1363148,1.48963e+07,622263,0,0.0237594,0,0,0,0
cuckoo,1000000,0.01,0.65,delete,1363148,1.65046e+07,301771,0,0.0237594,0,0,0,0
cuckoo,1000000,0.01,0.7,insert,1468006,1.37183e+07,599288,0,0.0392684,0,0,0,0
cuckoo,1000000,0.01,0.7,delete,1468006,1.61902e+07,171659,0,0.0392684,0,0,0,0
cuckoo,1000000,0.01,0.75,insert,1572864,1.20544e+07,533284,0,0.0642175,0,0,0,0
cuckoo,1000000,0.01,0.75,delete,1572864,1.5298e+07,477141,0,0.0642175,0,0,0,0
cuckoo,1000000,0.01,0.8,insert,1677721,1.05185e+07,216808,0,0.106648,0,0,0,0
cuckoo,1000000,0.01,0.8,delete,1677721,1.44676e+07,415873,0,0.106648,0,0,0,0
cuckoo,1000000,0.01,0.85,insert,1782579,8.89104e+06,133290,0,0.182806,0,0,0,0
cuckoo,1000000,0.01,0.85,delete,1782579,1.41227e+07,82759,0,0.182806,0,0,0,0
cuckoo,1000000,0.01,0.9,insert,1887436,6.7003e+06,146535,0,0.345541,0,0,0,0
cuckoo,1000000,0.01,0.9,delete,1887436,1.07906e+07,5.0303e+06,0,0.345541,0,0,0,0
cuckoo,1000000,0.01,0.95,insert,1992294,3.92043e+06,151615,0,0.905032,0,0,0,0
cuckoo,1000000,0.01,0.95,delete,1992294,1.22984e+07,284425,0,0.905032,0,0,0,0
quotient,1000000,0.01,0.4,insert,838860,1.50766e+08,4.5878e+06,0,0,0,1.3303,2.01815,34
quotient,1000000,0.01,0.4,delete,838860,1.47156e+08,7.04591e+06,0,0,0,1.3303,2.01815,34
quotient,1000000,0.01,0.45,insert,943718,1.35456e+08,8.83072e+06,0,0,0,1.40515,2.2532,44
quotient,1000000,0.01,0.45,delete,943718,1.32069e+08,7.46138e+06,0,0,0,1.40515,2.2532,44
quotient,1000000,0.01,0.5,insert,1048576,1.27128e+08,2.71735e+06,0,0,0,1.49508,2.53358,52
quotient,1000000,0.01,0.5,delete,1048576,1.26286e+08,3.66117e+06,0,0,0,1.49508,2.53358,52
quotient,1000000,0.01,0.55,insert,1153433,1.12477e+08,6.97247e+06,0,0,0,1.60181,2.87782,63
quotient,1000000,0.01,0.55,delete,1153433,1.16234e+08,2.4228e+06,0,0,0,1.60181,2.87782,63
quotient,1000000,0.01,0.6,insert,1258291,1.05452e+08,1.87575e+06,0,0,0,1.73528,3.30296,83
quotient,1000000,0.01,0.6,delete,1258291,1.06005e+08,2.52292e+06,0,0,0,1.73528,3.30296,83
quotient,1000000,0.01,0.65,insert,1363148,9.80053e+07,910366,0,0,0,1.90484,3.84935,105
quotient,1000000,0.01,0.65,delete,1363148,9.68388e+07,2.64146e+06,0,0,0,1.90484,3.84935,105
quotient,1000000,0.01,0.7,insert,1468006,9.05274e+07,1.40268e+06,0,0,0,2.12995,4.57073,132
quotient,1000000,0.01,0.7,delete,1468006,8.91092e+07,2.38354e+06,0,0,0,2.12995,4.57073,132
quotient,1000000,0.01,0.75,insert,1572864,8.29302e+07,1.99021e+06,0,0,0,2.43263,5.56203,191
quotient,1000000,0.01,0.75,delete,1572864,8.40153e+07,874428,0,0,0,2.43263,5.56203,191
quotient,1000000,0.01,0.8,insert,1677721,7.57948e+07,4.48722e+06,0,0,0,2.854,7.00768,252
quotient,1000000,0.01,0.8,delete,1677721,7.57248e+07,2.31443e+06,0,0,0,2.854,7.00768,252
quotient,1000000,0.01,0.85,insert,1782579,7.25374e+07,1.0023e+06,0,0,0,3.49022,9.27565,350
quotient,1000000,0.01,0.85,delete,1782579,7.16393e+07,380033,0,0,0,3.49022,9.27565,350
quotient,1000000,0.01,0.9,insert,1887436,6.7874e+07,652022,0,0,0,4.50645,13.3038,507
quotient,1000000,0.01,0.9,delete,1887436,6.38951e+07,1.58003e+06,0,0,0,4.50645,13.3038,507
quotient,1000000,0.01,0.95,insert,1992294,5.91945e+07,2.49421e+06,0,0,0,6.29054,21.7135,872
quotient,1000000,0.01,0.95,delete,1992294,5.18208e+07,1.27597e+06,0,0,0,6.29054,21.7135,872
