filter,n,target_fpr,trial,achieved_fpr,bpe
bloom_blocked,1000000,0.05,0,0.239026,6.23565
cuckoo,1000000,0.05,0,0.014716,33.5544
quotient,1000000,0.05,0,0.005216,50.3316
xor,1000000,0.05,0,0.003268,33.5544
bloom_blocked,1000000,0.01,0,0.231622,9.58515
cuckoo,1000000,0.01,0,0.014716,33.5544
quotient,1000000,0.01,0,0.005216,50.3316
xor,1000000,0.01,0,0.003268,33.5544
bloom_blocked,1000000,0.001,0,0.199219,14.378
cuckoo,1000000,0.001,0,0.014716,33.5544
quotient,1000000,0.001,0,0.001288,50.3316
xor,1000000,0.001,0,0.000822,33.5544
bloom_blocked,5000000,0.05,0,0.23974,6.23524
cuckoo,5000000,0.05,0,0.0185958,26.8435
quotient,5000000,0.05,0,0.0097818,40.2653
xor,5000000,0.05,0,0.0036476,26.8435
bloom_blocked,5000000,0.01,0,0.23219,9.58515
cuckoo,5000000,0.01,0,0.0185958,26.8435
quotient,5000000,0.01,0,0.0097818,40.2653
xor,5000000,0.01,0,0.0036476,26.8435
bloom_blocked,5000000,0.001,0,0.199578,14.3777
cuckoo,5000000,0.001,0,0.0185958,26.8435
quotient,5000000,0.001,0,0.0024764,40.2653
xor,5000000,0.001,0,0.0009266,26.8435
bloom_blocked,10000000,0.05,0,0.239688,6.23524
cuckoo,10000000,0.05,0,0.0186431,26.8435
quotient,10000000,0.05,0,0.0097378,40.2653
xor,10000000,0.05,0,0.0036273,26.8435
bloom_blocked,10000000,0.01,0,0.231597,9.5851
cuckoo,10000000,0.01,0,0.0186431,26.8435
quotient,10000000,0.01,0,0.0097378,40.2653
xor,10000000,0.01,0,0.0036273,26.8435
bloom_blocked,10000000,0.001,0,0.199599,14.3776
cuckoo,10000000,0.001,0,0.0186431,26.8435
quotient,10000000,0.001,0,0.0025079,40.2653
xor,10000000,0.001,0,0.0008945,26.8435
bloom_blocked,1000000,0.05,1,0.240125,6.23565
cuckoo,1000000,0.05,1,0.014762,33.5544
quotient,1000000,0.05,1,0.005107,50.3316
xor,1000000,0.05,1,0.003331,33.5544
bloom_blocked,1000000,0.01,1,0.231187,9.58515
cuckoo,1000000,0.01,1,0.014762,33.5544
quotient,1000000,0.01,1,0.005107,50.3316
xor,1000000,0.01,1,0.003331,33.5544
bloom_blocked,1000000,0.001,1,0.199534,14.378
cuckoo,1000000,0.001,1,0.014762,33.5544
quotient,1000000,0.001,1,0.001277,50.3316
xor,1000000,0.001,1,0.000855,33.5544
bloom_blocked,5000000,0.05,1,0.239426,6.23524
cuckoo,5000000,0.05,1,0.0185954,26.8435
quotient,5000000,0.05,1,0.0097124,40.2653
xor,5000000,0.05,1,0.0036454,26.8435
bloom_blocked,5000000,0.01,1,0.232031,9.58515
cuckoo,5000000,0.01,1,0.0185954,26.8435
quotient,5000000,0.01,1,0.0097124,40.2653
xor,5000000,0.01,1,0.0036454,26.8435
bloom_blocked,5000000,0.001,1,0.199597,14.3777
cuckoo,5000000,0.001,1,0.0185954,26.8435
quotient,5000000,0.001,1,0.0024784,40.2653
xor,5000000,0.001,1,0.0009154,26.8435
bloom_blocked,10000000,0.05,1,0.239711,6.23524
cuckoo,10000000,0.05,1,0.018617,26.8435
quotient,10000000,0.05,1,0.0098076,40.2653
xor,10000000,0.05,1,0.0036161,26.8435
bloom_blocked,10000000,0.01,1,0.231742,9.5851
cuckoo,10000000,0.01,1,0.018617,26.8435
quotient,10000000,0.01,1,0.0098076,40.2653
xor,10000000,0.01,1,0.0036161,26.8435
bloom_blocked,10000000,0.001,1,0.19941,14.3776
cuckoo,10000000,0.001,1,0.018617,26.8435
quotient,10000000,0.001,1,0.0025231,40.2653
xor,10000000,0.001,1,0.0009163,26.8435
