filter,n,target_fpr,workload,neg_share,threads,ops,ops_per_sec_mean,ops_per_sec_std
bloom_blocked,1000000,0.01,read_only,0.5,1,2000000,4.25406e+07,914800
bloom_blocked,1000000,0.01,read_only,0.5,2,2000000,7.79584e+07,4.41068e+06
bloom_blocked,1000000,0.01,read_only,0.5,4,2000000,1.52653e+08,5.70645e+06
bloom_blocked,1000000,0.01,read_only,0.5,8,2000000,2.40869e+08,1.32852e+07
bloom_blocked,1000000,0.01,read_mostly,0.5,1,2000000,4.09699e+07,1.63075e+06
bloom_blocked,1000000,0.01,read_mostly,0.5,2,2000000,7.05757e+07,3.2551e+06
bloom_blocked,1000000,0.01,read_mostly,0.5,4,2000000,1.11033e+08,4.08954e+06
bloom_blocked,1000000,0.01,read_mostly,0.5,8,2000000,1.3227e+08,2.40547e+06
cuckoo,1000000,0.01,read_only,0.5,1,2000000,7.18582e+06,424636
cuckoo,1000000,0.01,read_only,0.5,2,2000000,1.48301e+07,1.03075e+06
cuckoo,1000000,0.01,read_only,0.5,4,2000000,2.90762e+07,2.71756e+06
cuckoo,1000000,0.01,read_only,0.5,8,2000000,5.62275e+07,4.01224e+06
cuckoo,1000000,0.01,read_mostly,0.5,1,2000000,4.60763e+06,1.917e+06
cuckoo,1000000,0.01,read_mostly,0.5,2,2000000,1.69866e+06,324367
cuckoo,1000000,0.01,read_mostly,0.5,4,2000000,1.62019e+06,622275
cuckoo,1000000,0.01,read_mostly,0.5,8,2000000,1.70803e+06,340398
quotient,1000000,0.01,read_only,0.5,1,2000000,3.64141e+07,1.42578e+06
quotient,1000000,0.01,read_only,0.5,2,2000000,8.27396e+07,1.32593e+06
quotient,1000000,0.01,read_only,0.5,4,2000000,1.51849e+08,2.24364e+06
quotient,1000000,0.01,read_only,0.5,8,2000000,2.28753e+08,1.40848e+07
quotient,1000000,0.01,read_mostly,0.5,1,2000000,3.45771e+07,1.49973e+06
quotient,1000000,0.01,read_mostly,0.5,2,2000000,6.72195e+07,2.99623e+06
quotient,1000000,0.01,read_mostly,0.5,4,2000000,9.61103e+07,2.20011e+06
quotient,1000000,0.01,read_mostly,0.5,8,2000000,1.00555e+08,1.7665e+06
xor,1000000,0.01,read_only,0.5,1,2000000,5.32437e+07,7.11631e+06
xor,1000000,0.01,read_only,0.5,2,2000000,1.18409e+08,897808
xor,1000000,0.01,read_only,0.5,4,2000000,2.07141e+08,1.89772e+07
xor,1000000,0.01,read_only,0.5,8,2000000,2.93357e+08,1.00562e+07
xor,1000000,0.01,read_mostly,0.5,1,2000000,5.84702e+07,1.37983e+06
xor,1000000,0.01,read_mostly,0.5,2,2000000,1.13276e+08,1.78201e+06
xor,1000000,0.01,read_mostly,0.5,4,2000000,2.05239e+08,1.55288e+07
xor,1000000,0.01,read_mostly,0.5,8,2000000,3.08671e+08,2.3211e+07
